Metric,Category,Value,Share
Population,Non-Hispanic White,191413277.0,0.5627965065168873
Population,Hispanic or Latino,67997162.0,0.1999263887356301
Population,Non-Hispanic Black,39941572.0,0.11743687553289589
Population,Non-Hispanic Asian,21034974.0,0.06184738105640162
Population,Non-Hispanic Other / Multiracial,19724005.0,0.05799284815818507
SNAP recipient-household population,Non-Hispanic White,16669293.0,0.35326763534062144
SNAP recipient-household population,Hispanic or Latino,14097058.0,0.29875498288497243
SNAP recipient-household population,Non-Hispanic Black,10512371.0,0.222785720125822
SNAP recipient-household population,Non-Hispanic Asian,2364898.0,0.05011861776511847
SNAP recipient-household population,Non-Hispanic Other / Multiracial,3542398.0,0.07507304388346565
Estimated federal income tax,Non-Hispanic White,1532234207652.6133,0.6880788776125074
Estimated federal income tax,Hispanic or Latino,234838335462.8629,0.1054586155815098
Estimated federal income tax,Non-Hispanic Black,152763508643.28952,0.06860135548628506
Estimated federal income tax,Non-Hispanic Asian,209976508341.5315,0.0942939398318085
Estimated federal income tax,Non-Hispanic Other / Multiracial,97016743204.50963,0.043567211487889265
