Year,White_AssistHH,White_AnnualBenefit,White_WelfareConsumption,Black_AssistHH,Black_AnnualBenefit,Black_WelfareConsumption,Asian_AssistHH,Asian_AnnualBenefit,Asian_WelfareConsumption,Hispanic_AssistHH,Hispanic_AnnualBenefit,Hispanic_WelfareConsumption
2010,6535887.0,9888.230769230768,64628358937.61537,2976061.0,6343.376538461538,18878275524.43038,230411.0,10623.928846153845,2447870069.371154,2423345.0,7223.098846153845,17504060473.33269
2011,7334939.0,10111.423846153846,74166677114.68385,3235485.0,6380.501538461538,20644017020.16923,261634.0,10983.139615384614,2873562750.1315384,2717554.0,7354.671923076923,19986718103.245384
2012,8281575.0,10190.16,84390574302.0,3557804.0,6421.094999999999,22844997475.379997,300518.0,11197.841538461538,3365152943.4553847,3067362.0,7354.045384615385,22557519359.044617
2013,9027243.0,10234.360384615386,92388058141.49655,3818672.0,6496.539230769231,24808152457.440002,335171.0,11249.179615384615,3770398780.868077,3372532.0,7379.965384615385,24889169418.507694
2014,9502763.0,10354.998461538462,98401096245.36462,3983352.0,6533.515384615385,26025291574.338463,365632.0,11421.685384615384,4176133670.5476923,3590336.0,7461.612692307692,26789696667.24923
2015,9679527.0,10456.217307692308,101211237747.675,4061409.0,6519.506538461537,26478382530.866535,386373.0,11568.381923076922,4469710428.764999,3711448.0,7529.548846153845,27945529005.959995
2016,9621685.0,10727.695384615385,103218505766.72308,4055744.0,6700.697307692308,27176312901.48923,396925.0,11933.532692307692,4736717463.894231,3758976.0,7745.216538461537,29114083082.879997
2017,9374231.0,11143.090384615385,104457903319.26347,3973716.0,6908.323846153846,27451717000.643074,404639.0,12452.843076923074,5038905969.803076,3722156.0,8166.0599999999995,30395349225.359997
2018,9083509.0,11597.559230769231,105346533650.72539,3892462.0,7264.547307692308,28276974342.394615,403818.0,12976.40076923077,5240104205.829231,3676935.0,8584.674230769231,31565289142.713463
2019,8763708.0,12058.44576923077,105676697655.37386,3793347.0,7636.455,28967723664.885,399849.0,13559.753076923074,5421853708.054614,3585593.0,9046.900384615385,32438502690.77423
2020,8237272.0,12430.253076923076,102391375623.4523,3725301.0,7966.803461538462,29678740902.072697,423424.0,13991.524615384616,5924347318.744616,3537747.0,9487.318846153845,33563733786.024227
2021,7925341.0,13191.739615384615,104549034835.13191,3764294.0,8427.482307692308,31723521085.95231,455214.0,14000.0,6372996000.0,3661487.0,10166.860384615386,37225827129.084236
2022,7701482.0,14000.0,107820748000.0,3842610.0,9363.918461538462,35981886719.49231,504655.0,14000.0,7065170000.0,3806744.0,11223.955384615385,42726724816.652306
2023,7536147.0,14000.0,105506058000.0,3922307.0,9787.998461538462,38391534881.68154,560000.0,14000.0,7840000000.0,3963126.0,11965.738846153845,47421730730.402306
2024,7405088.0,14000.0,103671232000.0,3988305.0,10149.113076923077,40477758430.25769,623046.0,14000.0,8722644000.0,4178017.0,12490.137692307691,52184007610.80231
